year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371,1.446700096130371
2020,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155,1.5308345556259155
2025,1.6133623123168945,1.630187749862671,1.6133623123168945,1.6133623123168945,1.6217750310897827,1.630187749862671,1.630187749862671
2030,1.6915782690048218,1.7429193258285522,1.6915786266326904,1.7084126472473145,1.7172471284866333,1.7260820865631104,1.7429178953170776
2035,1.763267993927002,1.8668427467346191,1.7801084518432617,1.797155499458313,1.81504487991333,1.83293616771698,1.8499904870986938
2040,1.8267772197723389,1.9996469020843506,1.860897421836853,1.8862344026565552,1.9131855964660645,1.9401544332504272,1.9655041575431824
2045,1.897712106704712,2.122406485080719,1.940445351600647,1.9740815460681915,2.0099977254867554,2.046095609664917,2.079659342765808
2050,1.9585091054439545,2.2499924421310427,2.016936016082764,2.059109926223755,2.1044243574142456,2.1538654565811157,2.191570448875427
2055,2.0169037485122683,2.3802441143989563,2.0901775598526,2.1374133229255676,2.1960864067077637,2.2533020973205566,2.302781081199646
2060,2.06507182598114,2.4975446796417238,2.154883027076721,2.2144715189933777,2.2831679582595825,2.3493252992630005,2.4081509113311768
2065,2.1101520371437075,2.615481653213501,2.2177749395370485,2.285267174243927,2.3650981187820435,2.441204786300659,2.509292221069336
2070,2.1560776901245116,2.7257526659965516,2.2753434658050535,2.351164400577545,2.4410250186920166,2.5271530151367188,2.6059169292449953
2075,2.190908946990967,2.836083996295929,2.3300255060195925,2.4125404357910156,2.5126932859420776,2.609729826450348,2.6941733598709106
2080,2.223045754432678,2.9360226511955263,2.377595329284668,2.4687150716781616,2.577786684036255,2.6847822666168213,2.7795468091964723
2085,2.2496658420562743,3.031709315776825,2.4207496881484984,2.520250976085663,2.6396517753601074,2.7544877529144287,2.857962393760681
2090,2.274060311317444,3.117530198097229,2.4584455490112305,2.5676531195640564,2.6947981119155884,2.8208237886428833,2.9323713541030885
2095,2.2948896527290343,3.2010143566131593,2.492248034477234,2.609553813934326,2.746827721595764,2.8807873725891113,3.0003917932510378
2100,2.3174415612220765,3.273791961669922,2.523369789123535,2.6495693922042847,2.7941867113113403,2.9370747804641724,3.065697240829468
2105,2.3334414911270143,3.3498141503334047,2.5496695756912233,2.6845012307167053,2.8384190797805786,2.989450216293335,3.1239736795425417
2110,2.3481328535079955,3.4180189466476443,2.5744252681732176,2.7168397903442383,2.877293109893799,3.037333846092224,3.1791132926940917
2115,2.3538456678390505,3.482048707008362,2.5966115951538087,2.7460566759109497,2.9138174057006836,3.081762969493866,3.2303439140319825
2120,2.3616073656082155,3.539739739894867,2.6150043487548826,2.772063195705414,2.9448888301849365,3.1233216524124146,3.278218126296997
2125,2.36877995967865,3.594588568210602,2.6308372974395753,2.795345366001129,2.9760963916778564,3.1619675755500793,3.3208431243896483
2130,2.375439913272858,3.645016593933106,2.643703031539917,2.8155765533447266,3.0029196739196777,3.1952590942382812,3.3623236656188964
2135,2.3792669701576235,3.693901264667511,2.6554052352905275,2.834778070449829,3.0297703742980957,3.2276690006256104,3.3995471954345704
2140,2.381455159187317,3.7402318954467773,2.6649927139282226,2.851343035697937,3.052156686782837,3.257502317428589,3.4350179195404054
2145,2.384069917201996,3.7782241821289064,2.6734750509262084,2.8673176765441895,3.071254849433899,3.28494393825531,3.468733716011047
2150,2.384069917201996,3.814288265705109,2.6827652215957642,2.879694879055023,3.0902024507522583,3.31179279088974,3.5014442682266234
2155,2.384151439666748,3.85618109703064,2.6915573596954347,2.8889681696891785,3.106987237930298,3.334802210330963,3.531028985977173
