year,emissions_BAU
2015,36.286716
2020,39.206837
2025,41.189045
2030,42.227703
2035,42.368813
2040,41.8557
2045,40.74262
2050,39.135086
2055,37.22869
2060,35.16903
2065,33.032825
2070,30.788197
2075,28.530218
2080,26.368368
2085,24.270924
2090,22.37734
2095,20.53295
2100,18.798399
2105,17.205933
2110,15.6800785
2115,14.328705
2120,13.089414
2125,11.898757
2130,10.906218
2135,9.964976
2140,9.148764
2145,8.37279
2150,7.697502
2155,7.0019007
