year,emissions_BAU
2015,36.286716
2020,39.205788
2025,41.182655
2030,42.215523
2035,42.35704
2040,41.834423
2045,40.71494
2050,39.10949
2055,37.20427
2060,35.139996
2065,32.995415
2070,30.753433
2075,28.50323
2080,26.344105
2085,24.252167
2090,22.350035
2095,20.506935
2100,18.771006
2105,17.173628
2110,15.649702
2115,14.290094
2120,13.043358
2125,11.85063
2130,10.857515
2135,9.9122
2140,9.070755
2145,8.293394
2150,7.61336
2155,6.9155135
