year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546,0.8510000109672546
2020,0.8916215896606445,0.8916215896606445,0.8916215896606445,0.8916215896606445,0.8916215896606445,0.8916215896606445,0.8916215896606445
2025,0.9315738081932068,0.9373371005058289,0.9315738081932068,0.9315740466117859,0.934488832950592,0.937336802482605,0.9373371005058289
2030,0.9698579907417297,0.9869223833084106,0.9698584079742432,0.9755666851997375,0.978574812412262,0.9815179109573364,0.986920952796936
2035,1.0056735265254975,1.0391864776611328,1.0113898515701294,1.0170469284057617,1.0229874849319458,1.028780221939087,1.0341123342514038
2040,1.0384067296981812,1.0930630028247834,1.0500060200691224,1.0582653284072876,1.067121148109436,1.0754938423633575,1.0832937955856323
2045,1.0734512794017792,1.1432113659381866,1.08777916431427,1.0986025035381317,1.110270917415619,1.121410220861435,1.131271982192993
2050,1.104661341905594,1.1937970006465912,1.1241497635841369,1.1371715664863586,1.15205717086792,1.166283130645752,1.1777557373046874
2055,1.134545316696167,1.2434131407737734,1.159025454521179,1.1739553809165955,1.19230455160141,1.2089936137199402,1.2229560017585754
2060,1.1604916274547576,1.2903756034374236,1.1906274557113647,1.2088927030563354,1.230482280254364,1.2500885128974915,1.2663506269454956
2065,1.1849541032314301,1.335916563272476,1.221527600288391,1.2421819269657135,1.2665558457374573,1.2894966900348663,1.3075183033943176
2070,1.207509731054306,1.3788416695594787,1.2494908571243286,1.2733446955680847,1.3004875183105469,1.3265679478645325,1.3468235611915589
2075,1.2280621874332427,1.419401742219925,1.2748356938362122,1.3024608194828033,1.3327062129974365,1.3613798320293427,1.3839048266410827
2080,1.2451052641868592,1.4578275239467622,1.2989272832870484,1.3296226561069489,1.362724244594574,1.394039660692215,1.4189938068389893
2085,1.2607956612110138,1.4951282787323,1.3205932140350343,1.3548579216003418,1.3906810283660889,1.424994945526123,1.4523688793182372
2090,1.2741327786445618,1.5287697446346282,1.3409205317497253,1.377413421869278,1.4163204431533813,1.453922152519226,1.483737623691559
2095,1.286524131298065,1.5623819947242736,1.3590914845466613,1.3981840908527374,1.440365731716156,1.4805102050304413,1.5136100888252257
2100,1.2984675168991089,1.5939579510688782,1.3757673978805542,1.41774582862854,1.4625874757766724,1.5059375166893005,1.540681278705597
2105,1.3070907294750214,1.6229046535491944,1.3892544865608216,1.4351094961166382,1.4833680391311646,1.5291545391082764,1.566630220413208
2110,1.3148706245422364,1.650876930952072,1.4025423049926757,1.4509527087211609,1.5026443600654602,1.5510716438293457,1.5909021854400636
2115,1.320707780122757,1.6777412939071656,1.414214825630188,1.4649847745895386,1.5194021463394165,1.5709746778011322,1.6140697360038758
2120,1.326970043182373,1.7040899121761321,1.4246866345405578,1.4778636693954468,1.5361486673355103,1.5896895825862885,1.6356652855873108
2125,1.3296886909008026,1.7286769485473634,1.4344462037086487,1.490321010351181,1.550720751285553,1.6071259081363678,1.6552546620368958
2130,1.3340493261814117,1.7509750032424927,1.4425516247749328,1.501044899225235,1.5645403861999512,1.6242196261882782,1.6741353392601013
2135,1.3374682903289794,1.7709838128089905,1.449410367012024,1.510848581790924,1.576937198638916,1.63915354013443,1.69164799451828
2140,1.3404549491405486,1.790756298303604,1.4554842710494995,1.5197427868843079,1.5885891318321228,1.6535501182079315,1.7075411915779113
2145,1.3414533722400666,1.808102493286133,1.460869836807251,1.5275724232196808,1.599189281463623,1.6660280525684357,1.7216419339179994
2150,1.3428867828845978,1.8268710660934449,1.4662630915641786,1.534493625164032,1.6084102392196655,1.6778421998023987,1.7364619612693786
2155,1.343211612701416,1.8447739160060883,1.470198118686676,1.5403434932231903,1.6172577142715454,1.6887104511260986,1.7498554468154908
