year,range_1pct,range_99pct,q10,q25,q50,q75,q90
2015,0.007659334689378738,0.007659334689378738,0.007659334689378738,0.007659334689378738,0.007659334689378738,0.007659334689378738,0.007659334689378738
2020,0.008415868505835533,0.0084420470520854,0.008415868505835533,0.008415868505835533,0.008427300490438938,0.0084420470520854,0.0084420470520854
2025,0.009188013151288033,0.009381666779518127,0.009199956431984901,0.009234888479113579,0.009275350719690323,0.009321932680904865,0.009354679845273495
2030,0.009963988326489925,0.010437676683068275,0.010026127099990845,0.01010322105139494,0.010197445750236511,0.010280405171215534,0.010348469950258732
2035,0.010732182301580906,0.011618361808359623,0.010888851247727871,0.011017458513379097,0.011165478266775608,0.0113145150244236,0.011435654945671558
2040,0.011482930155470967,0.012838879711925983,0.01174928480759263,0.011944421334192157,0.01217370294034481,0.012395008467137814,0.01257852353155613
2045,0.012261746870353817,0.01416684976778925,0.0126237983815372,0.01288857706822455,0.013197194319218397,0.013504588743671775,0.01376630673184991
2050,0.012991036400198936,0.015570865608751774,0.013495285995304585,0.013839273247867823,0.014241151046007872,0.014632908627390862,0.014985154196619988
2055,0.013668429972603917,0.01707015657797456,0.014354655891656876,0.01478071347810328,0.015293942764401436,0.01578275067731738,0.016235289350152015
2060,0.014332027453929187,0.018561860341578723,0.01518109356984496,0.01570934196934104,0.016343376599252224,0.016941765788942575,0.017520531266927722
2065,0.014976861597970128,0.020091628544032573,0.015994256548583507,0.01662679435685277,0.017372011207044125,0.018114799167960882,0.01880891639739275
2070,0.015553872603923082,0.021720042042434214,0.016778334975242615,0.017525831703096628,0.01838694140315056,0.01926917489618063,0.020106254145503044
2075,0.01612970944494009,0.023343283124268057,0.017524522356688978,0.018377052154392004,0.019380228593945503,0.020398788154125214,0.02140256781131029
2080,0.016606700718402864,0.02506625771522522,0.018213512003421785,0.019214500673115253,0.020345726050436497,0.02153720846399665,0.022692082822322848
2085,0.017071773242205383,0.026899395547807216,0.01888937521725893,0.01999800931662321,0.02127830870449543,0.022637879941612482,0.023965717665851115
2090,0.017485220171511173,0.02868331653997302,0.019507927261292933,0.02070929715409875,0.02216558251529932,0.023698007222265005,0.025248000398278236
2095,0.017861444391310214,0.03062398970127106,0.02006407771259546,0.02140001254156232,0.023030493408441544,0.024740032386034727,0.026469290256500244
2100,0.018170103784650563,0.03249828703701496,0.02061675488948822,0.022042142692953348,0.023826641030609608,0.025735036469995975,0.02769218981266022
2105,0.01847135618329048,0.03422818090766668,0.021114729158580304,0.02267975639551878,0.024604683741927147,0.02670476585626602,0.02892749533057213
2110,0.018668951150029898,0.0358955616503954,0.021546661108732223,0.02324950834736228,0.025345759466290474,0.027680255006998777,0.030224077776074408
2115,0.018879605755209923,0.03766530603170395,0.021944164671003817,0.023778419476002455,0.026036218740046024,0.028611195739358664,0.03149760439991951
2120,0.019059434328228236,0.03934367258101703,0.022269451431930064,0.024274036288261414,0.02668345533311367,0.029557441361248493,0.03270622789859772
2125,0.019174714311957358,0.04081945899873973,0.022615469247102737,0.024747984018176794,0.027336837723851204,0.03040889371186495,0.0338526152074337
2130,0.01932099526748061,0.04258462253957989,0.02292159516364336,0.025163494050502777,0.02791369892656803,0.031269632279872894,0.034977686032652854
2135,0.019445328526198864,0.04407228831201792,0.023150129429996013,0.025536264292895794,0.028487425297498703,0.03210368473082781,0.036008134484291084
2140,0.019506936687976123,0.045556837283074865,0.023433075100183488,0.025867860298603773,0.02907730359584093,0.03288243804126978,0.037059373781085016
2145,0.019475948587059973,0.046980747245252155,0.023682506568729878,0.026211789343506098,0.02961059845983982,0.03359580971300602,0.038003452122211456
2150,0.019566541276872157,0.04845399495214225,0.02384563647210598,0.026517276652157307,0.030078675597906113,0.03431960195302963,0.03888818286359311
2155,0.019598043449223043,0.04980173863470555,0.02402938697487116,0.026807840447872877,0.030518031679093838,0.03500788286328316,0.03981254957616329
