year,Emissions,Emissions_1,Emissions_99,Emissions_10,Emissions_25,Emissions_50,Emissions_75,Emissions_90,emissions_BAU,RCP2.6 (GtC),RCP4.5(GtC),RCP6.0(GtC),RCP8.5(GtC),emissions_BAU
2015,29.783747,29.78375244140625,29.78375244140625,29.78375244140625,29.78375244140625,29.78375244140625,29.78375244140625,29.78375244140625,36.286716,37.19420952,36.67470066,34.33729572,42.898028939999996,36.286716
2020,31.413712,29.292947387695314,33.518621826171874,29.292947387695314,29.293124389648437,31.4302490234375,33.51839599609375,33.518621826171874,39.205788,35.91785496,38.14018416,34.36112472,47.166829320000005,39.205788
2025,32.319878,28.069784545898436,36.35615539550781,28.070263671875,30.26236572265625,32.323822021484375,34.33521423339844,36.35488586425781,41.182655,31.67500986,39.89491506,34.50978102,51.03464262,41.182655
2030,32.547066,26.259823120117186,38.32032470703125,28.405783081054686,30.489627075195312,32.563479614257815,34.57481994628906,36.47459411621094,42.215523,26.98696572,41.216911319999994,35.62721448,55.465113599999995,42.215523
2035,32.24286,23.999476623535156,39.504859802246095,28.238137817382814,30.264620971679687,32.27116241455078,34.208248901367185,36.043582153320315,42.35704,21.63112302,41.88980562,38.19781368,60.73957109999999,42.35704
2040,31.515854,23.545331451416015,38.510159942626956,27.625819702148437,29.62367935180664,31.573876953125,33.44962921142578,35.232322998046875,41.834423,17.21729568,42.105256440000005,41.015794559999996,66.3597324,41.834423
2045,30.464808,22.74032878112793,38.54629473876953,25.05826477050781,28.6220344543457,30.56641540527344,32.466668701171876,35.433406066894534,40.71494,14.21649138,41.63454204,44.204847959999995,72.4984494,40.71494
2050,29.220856,19.841324981689453,37.08269030761719,23.936308288574217,27.31101760864258,29.35187225341797,32.27321548461914,34.10978790283203,39.10949,11.42442912,40.10963268,47.5744152,78.61333739999999,39.10949
2055,27.842093,18.677275756835936,35.55226507568359,22.6704035949707,25.014886093139648,28.007696533203124,30.808963012695312,32.635332336425776,37.20427,8.945479919999999,37.00343088,51.2147532,84.6924819,37.20427
2060,26.3484,16.116781616210936,34.36688385009766,21.223423614501954,23.534042739868163,26.516041564941407,29.298834228515624,31.17150177001953,35.139996,6.4459278,33.40693824,54.79988124,90.00953832,35.139996
2065,24.824104,14.59028628540039,32.96775772094726,19.655143432617187,22.100766754150392,24.997557830810546,27.736046600341798,29.76797149658203,32.995415,3.9154712999999997,29.07500934,58.30219434,94.18346262,32.995415
2070,23.291662,13.09893476867676,31.509432189941407,17.868646392822264,20.612438583374022,23.48463134765625,26.255747985839843,28.369572448730473,30.753433,2.0035423199999998,24.252716279999998,61.1719758,97.67096508,30.753433
