Statistic,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11
Rel EE Mean,0.0003,0.0004,0.0003,0.0009,0.0009,0.0012,0.0009,0.0008,0.0007,0.0006,0.0005
Rel EE 99.9,0.002,0.0017,0.0017,0.0025,0.0034,0.0057,0.0039,0.0035,0.0025,0.0024,0.0025
Rel Value Function Mean,0.0003,0.0003,0.0002,0.0003,0.0002,0.0005,0.0004,0.0007,0.0004,0.0005,0.0005
Rel Value Function 99.9,0.0017,0.0015,0.0015,0.0017,0.0012,0.0018,0.0018,0.0019,0.0015,0.002,0.002
