Statistic,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11
Rel EE Mean,0.0005,0.0004,0.0003,0.0004,0.0003,0.0012,0.0013,0.0009,0.001,0.0006,0.0004
Rel EE 99.9,0.0033,0.0023,0.0014,0.0021,0.002,0.0053,0.0059,0.0055,0.0045,0.0025,0.0015
Rel Value Function Mean,0.0003,0.0004,0.0003,0.0002,0.0004,0.0006,0.0003,0.0005,0.0003,0.0004,0.0005
Rel Value Function 99.9,0.0019,0.0018,0.0018,0.0016,0.0021,0.0022,0.0019,0.0021,0.0024,0.0022,0.0017
